Year,Team,Abbreviation,Avg,Ret,Yds,KRet_TD,20_yd_returns,40_yd_returns,Long,Fair Catch
2011,Jets,NYJ,26.3,62,1633,1,41,7,107,0
2011,Lions,DET,24,37,887,0,29,1,42,0
2011,49ers,SF,27.2,39,1060,1,33,2,102,0
2011,Packers,GB,24.5,41,1005,1,27,3,108,0
2011,Panthers,CAR,23.7,39,926,1,25,2,101,1
2011,Patriots,NE,21.4,46,986,0,30,0,37,0
2011,Raiders,LV,23.5,43,1011,1,21,4,101,0
2011,Rams,LAR,23.3,55,1280,0,41,1,47,0
2011,Ravens,BAL,24.9,42,1047,0,31,3,77,0
2011,Commanders,WAS,22.1,56,1239,0,34,3,47,0
2011,Saints,NO,26.4,42,1111,0,33,2,92,0
2011,Seahawks,SEA,24.8,46,1142,0,34,4,54,0
2011,Steelers,PIT,25.1,35,877,0,27,2,52,0
2011,Texans,HOU,25.2,29,730,0,20,4,50,0
2011,Titans,TEN,26,32,832,1,25,3,84,0
2011,Vikings,MIN,26.9,53,1428,1,39,5,104,0
2012,Bears,CHI,19.8,47,929,0,25,2,40,0
2012,Bengals,CIN,22.6,41,928,0,24,2,45,0
2012,Bills,BUF,27,42,1136,1,35,4,89,0
2012,Broncos,DEN,23.1,28,646,1,14,3,105,0
2012,Browns,CLE,25.4,50,1269,0,39,3,74,0
2012,Buccaneers,TB,20.3,31,630,0,17,1,55,0
2012,Cardinals,ARI,23.2,40,930,0,25,2,65,0
2012,Chargers,LAC,23.9,40,957,1,27,1,99,0
2012,Chiefs,KC,21.6,49,1059,0,32,1,41,0
2012,Colts,IND,22.3,43,957,1,20,2,101,0
2012,Cowboys,DAL,20.6,36,741,0,22,1,44,0
2012,Dolphins,MIA,27,40,1082,1,31,4,96,0
2012,Eagles,PHI,21,60,1259,0,39,1,44,0
2012,Falcons,ATL,23.7,27,640,0,20,2,77,0
2012,Giants,NYG,26.2,63,1648,1,43,8,97,0
2012,Jaguars,JAX,21,53,1114,0,34,0,38,0
